MPG,Cylinders,Engine Disp,Horsepower,Weight,Accelerate,Year
16.0,8,400,170,4668,11.5,75
23.0,4,115,95,2694,15.0,75
23.0,4,120,88,2957,17.0,75
25.0,4,121,115,2671,13.5,75
25.0,4,90,71,2223,16.5,75
29.0,4,90,70,1937,14.0,75
22.0,4,121,98,2945,14.5,75
24.0,4,119,97,2545,17.0,75
33.0,4,91,53,1795,17.5,75
29.0,4,97,75,2171,16.0,75
24.0,4,134,96,2702,13.5,75
22.5,6,232,90,3085,17.6,76
15.5,8,304,120,3962,13.9,76
17.5,6,258,95,3193,17.8,76
16.5,8,350,180,4380,12.1,76
25.0,4,140,92,2572,14.9,76
17.5,8,305,140,4215,13.0,76
29.0,4,85,52,2035,22.2,76
22.0,6,250,105,3353,14.5,76
24.5,4,98,60,2164,22.1,76
13.0,8,350,145,4055,12.0,76
20.0,6,225,100,3651,17.7,76
26.0,4,98,79,2255,17.7,76
16.0,8,318,150,4190,13.0,76
13.0,8,318,150,3755,14.0,76
13.0,8,302,130,3870,15.0,76
14.5,8,351,152,4215,12.8,76
18.0,6,250,78,3574,21.0,76
24.0,6,200,81,3012,17.6,76
26.5,4,140,72,2565,13.6,76
